,Languages,Timestamp,Program,ProgSkills,C,CPP,CS,Java,Python,JS,R,SQL,SAS,Excel,Tableau,Regression,Classification,Clustering,Job,Bach_0to1,Bach_1to3,Bach_3to5,Bach_5Plus,quarter,year,Expert
0,6,2017/01/09 2:48:20 PM MST,MSIS,4,1,1,0,1,1,1,0,1,0,1,0,1,4.0,4.0,0.0,0,1,0,0,Winter,2017,1.0
1,4,2017/01/09 3:15:59 PM MST,MSIS,3,1,1,0,1,0,0,0,1,0,1,0,0,2.0,2.0,0.5,0,0,0,1,Winter,2017,1.0
2,3,2017/01/09 4:48:48 PM MST,MSIS,3,0,0,0,1,1,0,0,1,0,1,0,1,3.0,3.0,0.0,0,0,1,0,Winter,2017,1.0
3,5,2017/01/09 4:48:51 PM MST,MSIS,3,1,0,0,1,1,0,1,1,0,1,0,1,2.0,3.0,0.0,0,0,0,1,Winter,2017,1.0
4,4,2017/01/09 4:50:03 PM MST,MSIS,3,1,0,0,1,1,0,0,1,0,1,0,0,1.0,1.0,0.0,0,0,1,0,Winter,2017,1.0
5,1,2017/01/09 6:07:04 PM MST,Supply Chain Mgmt & Analytics,1,0,0,0,0,0,0,0,1,0,1,0,1,1.0,1.0,1.0,0,1,0,0,Winter,2017,0.0
6,4,2017/01/09 6:07:44 PM MST,MSIS,3,1,1,0,1,0,0,0,1,0,1,0,0,2.0,2.0,0.0,0,1,0,0,Winter,2017,1.0
7,3,2017/01/09 7:02:47 PM MST,MSIS,2,1,0,0,1,0,0,0,1,0,1,1,0,2.0,2.0,0.0,1,0,0,0,Winter,2017,1.0
8,0,2017/01/09 9:42:46 PM MST,MBA,1,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,0,0,0,1,Winter,2017,0.0
9,4,2017/01/09 11:08:27 PM MST,MSIS,3,1,0,0,1,1,0,0,1,0,1,1,1,2.0,1.0,0.5,0,0,0,1,Winter,2017,1.0
10,5,2017/01/10 8:43:34 AM MST,MBA,4,1,1,1,1,0,0,0,1,0,1,0,1,2.0,2.0,0.5,0,0,0,1,Winter,2017,1.0
11,1,2017/01/10 5:47:48 PM MST,MBA,2,0,0,0,0,1,0,0,0,0,1,0,1,1.0,1.0,1.0,0,0,0,1,Winter,2017,0.0
12,5,2017/01/10 7:04:45 PM MST,MSIS,4,1,1,0,1,0,0,0,1,1,1,0,1,1.0,1.0,0.5,0,0,0,1,Winter,2017,1.0
